,,NHL,Last Year,Last Year
Last Name,First Name,PPG,League,PPG
Matthews,Auston,0.841463415,Swiss-A,1.277777778
Laine,Patrik,0.876712329,SM-Liiga,0.717391304
Nylander,William,0.75308642,AHL,1.184210526
Marner,Mitchell,0.792207792,OHL,2.035087719
Aho,Sebastian,0.597560976,SM-Liiga,1
Tkachuk,Matthew,0.631578947,OHL,1.877192982
Werenski,Zach,0.602564103,NCAA,1
Point,Brayden,0.588235294,WHL,1.833333333
Skjei,Brady,0.4875,AHL,0.411764706
Rantanen,Mikko,0.506666667,AHL,1.153846154
Brown,Connor,0.43902439,AHL,0.852941176
Mantha,Anthony,0.6,AHL,0.75
Zaitsev,Nikita,0.43902439,KHL,0.565217391
Guentzel,Jake,0.825,AHL,1.272727273
Dvorak,Christian,0.423076923,OHL,2.050847458
Shore,Devin,0.402439024,AHL,1.130434783
Hartman,Ryan,0.407894737,AHL,0.573770492
Provorov,Ivan,0.365853659,WHL,1.177419355
Lehkonen,Artturi,0.383561644,SweHL,0.673469388
Konecny,Travis,0.4,OHL,1.806451613
Hyman,Zach,0.341463415,AHL,0.627118644
Schmaltz,Nick,0.459016393,NCAA,1.243243243
Vesey,Jimmy,0.3375,NCAA,1.393939394
Wilson,Scott,0.333333333,AHL,1.058823529
Beauvillier,Anthony,0.363636364,QMJHL,1.680851064
Zacha,Pavel,0.342857143,OHL,1.254901961
Stecher,Troy,0.338028169,NCAA,0.674418605
Perlini,Brendan,0.368421053,OHL,0.789473684
Labanc,Kevin,0.363636364,OHL,1.953846154
Buchnevich,Pavel,0.487804878,KHL,0.637931034
Chychrun,Jakob,0.294117647,OHL,0.790322581
Morrissey,Josh,0.243902439,AHL,0.385964912
Caggiula,Drake,0.3,NCAA,1.538461538
Lindell,Esa,0.246575342,AHL,0.575342466
Quine,Alan,0.295081967,AHL,0.857142857
Forbort,Derek,0.219512195,AHL,0.25
Wood,Miles,0.283333333,NCAA,0.945945946
Matheson,Michael,0.209876543,AHL,0.37037037
Fiala,Kevin,0.296296296,AHL,0.757575758
McGinn,Brock,0.280701754,AHL,0.729166667
Carlo,Brandon,0.195121951,WHL,0.519230769
Kero,Tanner,0.340425532,AHL,0.65
Kase,Ondrej,0.283018868,AHL,0.65
Benning,Matthew,0.241935484,NCAA,0.463414634
Hinostroza,Vinnie,0.285714286,AHL,0.772727273
Deangelo,Anthony,0.358974359,AHL,0.623188406
Sedlak,Lukas,0.209677419,AHL,0.333333333
Bjorkstrand,Oliver,0.5,AHL,0.568627451
Czarnik,Austin,0.265306122,AHL,0.897058824
Jensen,Nick,0.265306122,AHL,0.253333333
Weal,Jordan,0.52173913,AHL,1.093023256
Barbashev,Ivan,0.4,AHL,0.430769231
Crouse,Lawson,0.166666667,OHL,1.265306122
Ouellet,Xavier,0.181818182,AHL,0.475409836
Claesson,Fredrik,0.333333333,AHL,0.181818182
Dotchin,Jake,0.314285714,AHL,0.164179104
Noesen,Stefan,0.227272727,AHL,0.492307692
Malgin,Denis,0.212765957,Swiss-A,0.447368421
Cramarossa,Joseph,0.169491525,AHL,0.278688525
Johns,Stephen,0.163934426,AHL,0.436363636
Slepyshev,Anton,0.243902439,AHL,0.428571429
Ho-Sang,Joshua,0.476190476,OHL,1.242424242
Pelech,Adam,0.227272727,AHL,0.259259259
Graovac,Tyler,0.173076923,AHL,0.41025641
Soshnikov,Nikita,0.160714286,AHL,0.538461538
Sgarbossa,Michael,0.236842105,AHL,0.709677419
Mayfield,Scott,0.36,AHL,0.222222222
Tryamkin,Nikita,0.136363636,KHL,0.20754717
Theodore,Shea,0.264705882,AHL,0.74
Carr,Daniel,0.272727273,AHL,0.875
Gourde,Yanni,0.4,AHL,0.676923077
Carrier,William,0.195121951,AHL,0.535714286
Sanford,Zach,0.205128205,NCAA,0.951219512
Puljujarvi,Jesse,0.285714286,SM-Liiga,0.56
Ladue,Paul,0.363636364,NCAA,0.463414634
Motte,Tyler,0.212121212,NCAA,1.473684211
Lappin,Nick,0.162790698,NCAA,1.064516129
Eriksson Ek,Joel,0.466666667,SweHL,0.365853659
McKegg,Greg,0.152173913,AHL,0.489361702
Santini,Steven,0.184210526,NCAA,0.463414634
Nutivaara,Markus,0.106060606,SM-liiga,0.44
Gravel,Kevin,0.142857143,AHL,0.363636364
