#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Rk,Age,BTN Code,Last Name,First Name,End Team,Teams,Pos,GP,G,A,PTS,+/-,Sh,Sh%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FO,FOW,FOL,FO%,%Tm,Hits,BkS,MsS,GvA,TkA,H/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,ESTOI,ESTOI/G,55TOI/G,55TOF/G,ES%,ESG,ESA1,ESA2,ESA,ESP,ESP/60,ESPass,ESIGP,ESIAP,ESIPP,ESFO,ESFOW,ESFOL,ESFO%,ESOZFOW,ESOZFOL,ESOZ%,ESDZFOW,ESDZFOL,ESDZ%,ESNZFOW,ESNZFOL,ESNZ%,OZ%,OZRk,ESOZF,ESDZF,ESNZF,TOI QoC,RCQoC,QoCRk,CQoC ,RCQoT,CQoT ,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPG,PPA1,PPA2,PPA,PPP,PPP/60,PPPass,PPIGP,PPIAP,PPIPP,PPFO,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,SHTOI,SHTOI/G,45TOI/G,45TOF/G,SH%,SHG,SHA1,SHA2,SHA,SHP,SHPass,SHFO,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,SHPenT,SHPenD,tmGF,tmPPGF,tmGA,tmPPGA,SOS,SOG,SO%,SOGDG,1G,OTG,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS,
64,Oct 06 '93,Nizhnekamsk,,RUS,71,184,L,Y,20,NAILYAKUPOV,Yakupov,Nail,EDM,EDM,RW,48,17,14,31,-4,81,21.0%,699.0,14.6,932,19.4,0.75,83,7.12,45.9%,37.8%,83.8%,6, ,6,0.0%,0.2,41,14,32,23,18,3.5,1.2,2.7,2.0,1.5,24,12,0,0,0,0,-3.8,579.6,12.1,11.91,35.51,25.1%,11,7,3,10,21,2.17,63,44.0%,40.0%,84.0%,6,0,6,0.0%,71,96,31.9%,62,98,30.5%,81,116,37.6%,51.1%,10,196,188,163,15.4138629,-0.148,7,0.15,-0.948,-12.162,11.1%,.918,929,2.9%,2.62,2.62,23.61,32.01,46.18,61.40,-15.22,25,25,200,280,95,132,148,120,-3.25,2.11,2.50,27.91,32.31,50.20,60.30,-5.1,60,71,733,847,301,352,443,332,7,6,-1,0.72,0.62,-0.10,119.1,2.5,2.38,2.91,45.0%,6,3,1,4,10,5.0,20,50.0%,33.3%,83.3%, ,0,0, ,12,1,68,17,23,11,8,39,2,0,0.3,0.0,0.01,6.02,0.2%,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0,39,14,29,0,,, ,,1,1,2,1,0,0, ,3,3.3,0.7,4.0,0.08,0.34,17.6,13.7,-0.8,5.6,0.3,0,5.9,0.12,0.51,99,0,0,,,"$925,000","$2,850,000",5.2,
11,Jun 04 '93,Saint-Jerome,QC,CAN,73,177,L,Y,20,JONATHANHUBERDEAU,Huberdeau,Jonathan,FLA,FLA,C,48,14,17,31,-15,112,12.5%,812.5,16.9,1040,21.7,0.78,117,8.62,37.8%,45.9%,83.8%,33,11,22,33.3%,1.2,33,19,34,28,17,2.4,1.4,2.5,2.1,1.3,18,9,0,0,0,0,3.0,697.6,14.5,14.16,35.04,28.8%,12,6,3,10,22,1.89,95,50.0%,41.7%,91.7%,27,10,17,37.0%,110,126,38.8%,62,77,22.9%,120,113,38.3%,62.9%,9,248,234,217,15.86442266,0.306,8,0.413,3.704,1.261,6.3%,.884,890,-5.3%,2.12,3.71,33.46,31.87,59.23,56.50,2.74,24,42,355,319,130,127,152,162,-1.31,1.75,2.89,26.93,30.57,50.44,54.05,6.3,49,81,706,776,292,308,350,367,8,12,4,0.69,1.03,0.34,113.5,2.4,2.31,2.42,48.8%,2,3,4,7,9,4.8,22,15.4%,53.8%,69.2%,6,1,5,16.7%,13,0,82,14,27,5,3,27,0,0,1.4,0.0,0.03,5.1,0.6%,0,0,0,0,0,0, ,0,0, ,0,1,1,1,0,0,1,0,0,0,40,13,43,1,4,2,50%,1,2,0,1,0,2,2,100%,5,3.0,0.4,3.3,0.07,0.24,18.6,15.4,0.5,5.4,0.8,0.5,6.6,0.14,0.49,99,0,0,,,"$894,167","$2,300,000",5.9,
89,Dec 14 '89,Burlington,ON,CAN,68,179,L,Y,24,CORYCONACHER,Conacher,Cory,OTT,"TBL, OTT",LW,47,11,18,29,3,67,16.4%,656.8,14.0,885,18.8,0.74,85,7.80,29.7%,48.6%,78.4%,15,4,11,26.7%,0.5,39,9,14,20,10,3.6,0.8,1.3,1.8,0.9,20,10,0,0,0,0,13.2,559.4,11.9,11.73,35.9,24.6%,10,7,7,15,25,2.68,68,32.3%,48.4%,80.6%,11,3,8,27.3%,86,102,37.3%,71,67,27.4%,81,97,35.3%,57.7%,10,211,179,190,15.55448478,0.176,9,-0.122,0.692,-1.258,10.2%,.893,903,-0.5%,3.37,3.16,32.98,29.38,56.81,57.03,-.22,31,29,272,241,92,122,132,127,-1.01,2.60,2.17,28.48,27.67,51.88,51.88,-0.2,73,61,728,717,309,318,363,349,9,23,14,0.97,2.47,1.50,95.3,2.0,2,4.11,32.7%,1,2,2,3,4,2.5,17,16.7%,50.0%,66.7%,4,1,3,25.0%,6,1,45,8,24,4,2,39,0,0,2.1,0.0,0.04,4.76,0.8%,0,0,0,0,0,0, ,0,0, ,0,1,0,5,0,1,1,0,0,0,38,5,31,1,,, ,,2,0,3,0,0,0, ,3,2.5,0.7,3.3,0.07,0.30,16.2,14.8,2.7,4.4,1.1,0,5.5,0.12,0.50,99,0,0,,,"$817,500","$215,000",4.9,
11,May 06 '92,Edmonton,AB,CAN,69,178,R,Y,21,BRENDANGALLAGHER,Gallagher,Brendan,MTL,MTL,RW,44,15,13,28,10,117,12.8%,610.0,13.9,855,19.4,0.71,75,7.33,34.9%,30.2%,65.1%,25,8,17,32.0%,0.9,44,33,37,8,17,4.3,3.2,3.6,0.8,1.7,33,13,1,0,0,0,5.3,505.8,11.5,11.43,34.74,24.8%,12,8,4,12,24,2.85,75,34.3%,34.3%,68.6%,20,7,13,35.0%,102,115,39.6%,54,58,20.4%,109,110,40.0%,66.0%,14,207,179,200,15.5394527,-0.103,9,-0.726,7.084,11.109,10.7%,.878,889,-1.5%,4.18,2.98,38.89,24.46,70.63,52.02,18.61,35,25,291,180,100,92,139,166,2.86,2.28,2.04,27.79,27.75,54.80,52.36,16.2,58,52,650,655,316,250,377,372,9,13,4,1.07,1.54,0.47,103.6,2.4,2.3,4.13,35.8%,3,0,1,1,4,2.3,0,37.5%,12.5%,50.0%,4,1,3,25.0%,8,0,77,11,41,4,5,30,2,2,0.7,0.0,0.04,5.41,0.7%,0,0,0,0,0,0,1,0,1,0.0%,0,0,1,1,0,1,0,0,0,2,44,9,25,0,2,1,50%,1,1,0,3,0,0,0, ,4,3.0,1.0,4.0,0.09,0.39,16.2,14.5,6.4,4.8,2.1,0.2,7.1,0.16,0.70,99,0,0,3,Concussion,"$660,000","$210,000",6.8,
20,Oct 27 '92,Pittsburgh,PA,USA,73,202,L,Y,21,BRANDONSAAD,Saad,Brandon,CHI,CHI,LW,46,10,17,27,17,98,10.2%,757.2,16.5,1021,22.2,0.74,114,9.06,22.7%,38.6%,61.4%,46,17,29,37.0%,1.7,41,12,32,15,26,3.2,1.0,2.5,1.2,2.1,12,6,0,0,0,0,6.9,647.1,14.1,13.5,35.36,27.6%,9,11,3,14,23,2.13,114,25.7%,40.0%,65.7%,42,15,27,35.7%,124,89,31.5%,87,77,24.3%,162,137,44.2%,56.5%,9,239,226,215,16.05761915,0.846,4,-0.564,2.076,9.893,9.6%,.934,943,3.0%,3.38,1.64,35.17,24.83,59.90,44.83,15.07,35,17,329,240,113,83,124,143,2.97,2.66,1.84,29.36,25.34,53.56,47.55,9.1,72,50,724,637,271,233,369,385,5,11,6,0.46,1.02,0.56,70.5,1.5,1.53,3.61,29.8%,0,0,3,3,3,2.6,0,0.0%,42.9%,42.9%,3,2,1,66.7%,7,2,35,8,19,3,1,42,0,2,39.6,0.9,0.86,3.91,18.0%,1,0,0,0,1,0,1,0,1,0.0%,2,5,8,20,1,10,13,4,0,0,44,7,25,5,4,1,25%,1,1,0,2,0,0,0, ,5,2.1,1.4,3.5,0.08,0.28,17,17.5,5.9,3.6,3.3,-0.3,6.5,0.14,0.52,99,0,0,,,"$586,667","$307,500",6.3,
27,Feb 12 '94,Milwaukee,WI,USA,73,196,L,Y,19,ALEXGALCHENYUK,Galchenyuk,Alex,MTL,MTL,C,48,9,18,27,14,79,11.4%,591.4,12.3,838,17.5,0.71,110,11.20,25.0%,50.0%,75.0%,138,59,79,42.8%,4.5,23,25,36,8,9,2.3,2.5,3.7,0.8,0.9,20,10,0,0,0,0,-4.9,541.0,11.3,11.05,35.16,23.9%,9,12,4,17,26,2.88,102,28.1%,53.1%,81.3%,119,54,65,45.4%,94,88,36.5%,66,63,25.9%,93,95,37.7%,58.5%,11,215,212,182,15.19813776,0.404,7,-0.53,-1.197,5.173,11.7%,.928,940,4.5%,3.62,2.04,30.88,28.28,58.71,56.67,2.04,32,18,241,232,110,95,156,136,-5.80,2.42,2.17,29.61,26.27,57.98,50.66,-5.3,68,61,765,678,340,278,408,458,8,5,-3,0.89,0.55,-0.33,50.3,1.0,1,5.43,15.6%,0,1,0,1,1,1.2,8,0.0%,25.0%,25.0%,19,5,14,26.3%,4,0,28,4,19,2,3,11,1,0,0.1,0.0,0.02,5.42,0.4%,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,1,0,0,37,4,19,0,5,2,40%,0,2,0,2,0,0,0, ,4,2.3,1.1,3.5,0.07,0.36,13.7,12.9,10.7,4.6,2.5,0.2,7.2,0.15,0.73,99,0,0,,,"$925,000","$2,300,000",6.5,
19,Jul 06 '90,Kelowna,BC,CAN,74,185,R,Y,23,JUSTINSCHULTZ,Schultz,Justin,EDM,EDM,D,48,8,19,27,-17,85,9.4%,1029.6,21.4,1246,26.0,0.83,30,1.78,17.4%,41.3%,58.7%, , , , ,0.0,15,35,41,34,15,0.9,2.0,2.4,2.0,0.9,8,4,0,0,0,0,2.0,848.0,17.7,16.92,30.5,35.7%,4,2,7,8,12,0.85,24,13.3%,26.7%,40.0%, ,,, ,116,120,30.6%,115,140,33.1%,117,162,36.2%,48.1%,5,298,304,255,15.39880057,-0.343,3,0.28,2.709,-9.747,8.2%,.900,908,-1.8%,2.22,3.47,27.04,34.65,50.98,63.09,-12.12,30,47,336,422,145,191,194,179,-1.71,2.25,2.01,26.76,30.90,48.36,59.22,-1.3,55,49,598,705,251,293,398,276,4,1,-3,0.28,0.07,-0.21,153.7,3.2,2.96,2.32,56.1%,4,1,8,11,15,5.9,6,25.0%,68.8%,93.8%, ,,, ,16,0,81,17,39,8,5,49,0,1,27.9,0.6,0.57,5.45,9.5%,0,0,0,0,0,0, ,,, ,0,7,8,14,1,14,9,2,0,0,49,19,54,7,,, ,,1,0,3,0,0,0, ,3,2.6,0.9,3.6,0.08,0.21,26.4,22.8,-13.5,4.8,-1,0,3.8,0.08,0.22,99,0,0,,,"$925,000","$2,850,000",3.1,
93,Apr 18 '93,Stockholm,,SWE,73,200,R,Y,20,MIKAZIBANEJAD,Zibanejad,Mika,OTT,OTT,C,42,7,13,20,9,90,7.8%,569.8,13.6,812,19.3,0.70,67,7.02,24.1%,44.8%,69.0%,343,159,184,46.4%,13.7,82,19,37,7,12,8.6,2.0,3.9,0.7,1.3,6,3,0,0,0,0,3.3,488.5,11.6,11.18,36.79,23.3%,4,5,7,12,16,1.97,58,18.2%,54.5%,72.7%,287,134,153,46.7%,76,86,41.8%,41,42,21.4%,67,76,36.9%,66.1%,13,159,143,145,15.41119587,0.218,8,-0.68,0.4,8.338,8.6%,.939,948,2.5%,2.81,1.66,32.58,27.22,61.97,52.26,9.71,22,13,233,200,100,96,100,130,-3.27,1.86,2.21,32.46,31.22,62.67,54.52,1.6,48,57,788,747,332,263,337,446,3,7,4,0.37,0.86,0.49,80.6,1.9,1.89,3.39,35.8%,3,1,0,1,4,3.0,9,42.9%,14.3%,57.1%,55,25,30,45.5%,7,1,54,13,24,4,3,26,0,0,0.8,0.0,0.02,5.47,0.4%,0,0,0,0,0,0,1,0,1,0.0%,0,0,0,1,0,0,0,0,0,0,31,7,15,0,2,1,50%,1,1,0,0,0,0,0, ,5,1.4,1.1,2.5,0.06,0.26,14.1,11.6,6.7,1.6,1.3,0.2,3.1,0.07,0.33,90,0,0,,,"$812,879","$850,000",2.5,
33,Oct 13 '90,Gavle,,SWE,73,200,R,Y,23,JAKOBSILFVERBERG,Silfverberg,Jakob,OTT,OTT,RW/LW,48,10,9,19,9,134,7.5%,779.0,16.2,1063,22.1,0.73,108,8.31,32.3%,29.0%,61.3%,13,5,8,38.5%,0.4,38,13,42,23,20,2.9,1.0,3.2,1.8,1.5,12,6,0,0,0,0,0.9,643.7,13.4,12.9,35,26.9%,7,7,1,8,15,1.40,98,29.2%,33.3%,62.5%,10,4,6,40.0%,100,106,37.3%,68,59,23.0%,106,114,39.8%,61.9%,12,219,190,199,15.83443962,0.642,2,-0.131,0.516,8.85,7.1%,.951,958,2.3%,2.33,1.45,32.56,29.84,65.21,57.27,7.95,24,15,312,293,136,132,151,201,-3.97,2.04,2.21,32.64,29.93,61.25,52.54,-0.8,57,62,857,776,353,280,353,448,5,7,2,0.47,0.65,0.19,81.1,1.7,1.69,3.42,33.1%,2,1,0,1,3,2.2,10,33.3%,16.7%,50.0%,1,0,1,0.0%,6,1,53,12,26,5,1,31,1,1,54.2,1.1,1.12,4.59,19.6%,1,0,0,0,1,0,2,1,1,50.0%,1,2,12,40,4,15,13,2,0,0,32,6,19,2,7,4,57%,1,4,0,2,0,0,0, ,4,1.0,1.4,2.4,0.05,0.18,15.5,14.2,6.3,1.1,1.9,1.2,4.2,0.09,0.32,99,0,0,,,"$900,000",$0,3.5,
91,Dec 13 '91,Yaroslavl,,RUS,72,219,L,Y,22,VLADIMIRTARASENKO,Tarasenko,Vladimir,STL,STL,RW,38,8,11,19,1,75,10.7%,509.6,13.4,778,20.5,0.65,108,12.67,28.6%,39.3%,67.9%,1,1, ,100.0%,0.0,28,7,34,6,14,3.3,0.8,4.0,0.7,1.6,10,5,0,0,0,0,5.3,440.9,11.6,11.51,36.99,23.7%,5,7,2,9,14,1.91,97,31.3%,56.3%,87.5%,1,1,0,100.0%,80,96,44.9%,48,37,21.7%,67,64,33.4%,67.4%,13,201,153,130,15.40401697,0.328,9,-0.102,0.064,3.983,7.2%,.913,920,-1.5%,2.19,2.06,30.45,23.60,58.30,43.07,15.23,16,15,206,157,104,63,79,99,6.87,1.84,1.96,26.55,23.35,49.86,47.04,12.4,43,46,579,501,234,239,316,312,5,10,5,0.68,1.36,0.68,67.8,1.8,1.75,3.34,34.4%,3,2,0,2,5,4.4,11,25.0%,16.7%,41.7%, ,0,0, ,12,0,51,10,29,4,2,29,0,0,0.9,0.0,0.02,5,0.4%,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,1,0,0,0,1,28,12,15,0,2,0,0%,0,1,0,1,0,0,0, ,3,1.5,0.8,2.3,0.06,0.27,13.2,9.5,2.6,1.8,1,-0.6,2.2,0.06,0.26,99,0,0,10,Concussion,"$900,000","$850,000",1.5,
