#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,PPG,Last Year League,Last Year PPG,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
29,Sep 01 '95,Halifax,NS,CAN,72,182,R,2013,1,1,Y,18,NATHANMACKINNON,Nathan,MacKinnon,COL,,,C,82,24,39,63,0.768292683,QMJHL,1.704545455,20,241,79,68,10.0%,6.2%,28.3,141,29,15,1421.7,17.3,1735,21.2,0.82,171,7.21,20.2%,32.8%,52.9%,194,258,42.9%,9.2,128,57,45,79,28,51,5.4,2.4,1.9,3.3,1.2,2.2,26,13,0,0,0,0,12.2,3,0,0%,0,7,23,0,3,5,0,0,0,0%,7,5.7,2.1,7.7,0.09,0.32,33.3,27.2,13.2,10.5,3.1,-0.8,12.7,0.15,0.54,,,,,,3775000,,6.1
18,Mar 28 '91,Frydek-Mistek,,CZE,72,180,L,2011,7,208,Y,22,ONDREJPALAT,Ondrej,Palat,TBL,,,LW,81,23,36,59,0.728395062,AHL,0.928571429,32,165,66,56,13.9%,8.0%,28.0,107,14,13,1459.5,18.0,1906,23.5,0.77,199,8.18,20.9%,32.7%,53.6%,5,32,13.5%,0.7,144,146,64,66,38,47,5.9,6.0,2.6,2.7,1.6,1.9,20,10,0,0,0,0,4.8,4,1,25%,0,4,22,0,0,3,1,0,0,0%,8,5.1,2.8,7.9,0.10,0.32,32.5,32,26,9.7,5.9,-0.2,15.4,0.19,0.63,,,,1,Upper body,579167,,14.4
9,Jul 29 '90,Spokane,WA,USA,69,182,R,,,,Y,23,TYLERJOHNSON,Tyler,Johnson,TBL,,,C,82,24,26,50,0.609756098,AHL,1.048387097,23,181,71,61,13.3%,7.7%,26.6,100,14,15,1540.2,18.8,1998,24.4,0.77,118,4.61,21.4%,23.2%,44.6%,614,661,48.2%,26.2,52,55,37,71,41,23,2.0,2.1,1.4,2.8,1.6,0.9,26,13,0,0,0,0,9.0,2,0,0%,0,8,23,0,0,4,1,0,0,0%,7,3.9,2.5,6.5,0.08,0.25,30,30.1,17.3,7.9,5,-0.6,12.3,0.15,0.48,,,,,,900000,,10.7
47,Apr 12 '91,Livonia,MI,USA,69,181,L,,,,Y,22,TOREYKRUG,Torey,Krug,BOS,,,D,79,14,26,40,0.506329114,AHL,0.714285714,18,183,63,144,7.7%,3.6%,46.8,65,33,68,1382.4,17.5,1743,22.1,0.79,100,4.36,10.2%,19.0%,29.2%,1,1,50.0%,0,95,50,77,63,35,24,4.1,2.2,3.3,2.7,1.5,1.0,28,13,0,0,0,0,3.4,,, ,,2,15,1,0,2,0,0,0,0%,2,4.4,3.7,8.1,0.10,0.35,32.9,25.8,2.3,8.8,2.8,0,11.6,0.15,0.50,,,,,,1704167,,8.6
27,Jul 17 '92,Minneapolis,MN,USA,78,218,R,2010,1,19,Y,21,NICKBJUGSTAD,Nick,Bjugstad,FLA,,,C,76,16,22,38,0.5,NCAA,0.9,-14,185,58,58,8.6%,5.3%,28.1,91,19,32,1231.6,16.2,1742,22.9,0.71,167,8.16,15.8%,21.8%,37.6%,549,574,48.9%,24.4,89,117,23,58,28,37,4.3,5.7,1.1,2.8,1.4,1.8,16,8,0,0,0,0,-1.6,5,2,40%,1,1,16,0,0,4,0,0,0,0%,7,2.8,0.7,3.5,0.05,0.17,27.9,26.3,-2.4,3.8,1.8,0.4,6,0.08,0.29,,,,5,Concussion,1100000,,4.1
20,Apr 30 '91,Boxford,MA,USA,75,226,L,2009,1,19,Y,22,CHRISKREIDER,Chris,Kreider,NYR,,,LW/C,66,17,20,37,0.560606061,NCAA,1.022727273,14,136,60,31,12.5%,7.5%,24.1,58,24,11,1038.1,15.7,1424,21.6,0.73,124,7.18,19.8%,23.3%,43.0%,8,11,42.1%,0.4,87,146,18,60,25,21,5.0,8.4,1.0,3.5,1.4,1.2,72,25,2,0,1,0,-12.3,,, ,,2,10,0,0,0,0,0,1,100%,4,3.2,1.9,5.1,0.08,0.29,24.3,20.3,13.4,5,3,0,8.1,0.12,0.47,,,,9,Hand,1325000,,5.8
12,Oct 01 '90,Montreal,QC,CAN,76,205,R,2009,2,38,Y,23,ALEXCHIASSON,Alex,Chiasson,DAL,,,RW,79,13,22,35,0.443037975,AHL,0.614035088,-21,144,74,61,9.0%,4.7%,23.1,70,20,10,1194.0,15.1,1611,20.4,0.74,123,6.17,9.0%,15.3%,24.3%,64,68,48.5%,2.6,108,76,21,74,26,27,5.4,3.8,1.1,3.7,1.3,1.4,38,14,2,0,0,0,-4.1,5,1,20%,1,2,16,0,0,4,1,0,1,100%,3,2.1,0.3,2.4,0.03,0.12,30.6,25,-20.4,0.8,0,-0.5,0.3,0.00,0.02,,,,2,Flu,900000,,-1.3
23,Oct 12 '94,Brampton,ON,CAN,74,185,L,2013,1,6,Y,19,SEANMONAHAN,Sean,Monahan,CGY,,,C,75,22,12,34,0.453333333,OHL,1.344827586,-20,140,44,66,15.7%,8.8%,32.3,98,23,3,1197.4,16.0,1695,22.6,0.71,90,4.51,20.2%,11.0%,31.2%,476,560,45.9%,23.1,33,42,23,44,31,26,1.7,2.1,1.2,2.2,1.6,1.3,8,4,0,0,0,0,1.5,8,5,63%,4,7,19,1,2,2,0,0,0,0%,4,2.9,0.7,3.6,0.05,0.18,27.8,23.5,-7.9,2.8,1.2,2.2,6.1,0.08,0.31,,,,7,Foot,1775000,,3.0
43,Mar 04 '95,Chelyabinsk,,RUS,76,205,L,2013,1,10,Y,18,VALERINICHUSHKIN,Valeri,Nichushkin,DAL,,,RW/LW,79,14,20,34,0.430379747,KHL,0.333333333,20,128,51,41,10.9%,6.4%,24.1,69,10,11,1182.2,15.0,1497,18.9,0.79,147,7.44,12.2%,17.4%,29.6%,0,1,0.0%,0,120,86,27,51,59,25,6.1,4.4,1.4,2.6,3.0,1.3,8,3,0,0,0,0,13.3,1,0,0%,0,2,16,0,1,2,0,1,2,200%,4,2.1,2.1,4.1,0.05,0.21,22.7,20.9,19.5,4.2,3.7,-0.3,7.5,0.09,0.38,,,,,,2125000,,3.8
55,Mar 15 '93,Kitchener,ON,CAN,74,195,R,2011,1,7,Y,20,MARKSCHEIFELE,Mark,Scheifele,WPG,,,C,63,13,21,34,0.53968254,OHL,1.755555556,9,100,45,39,13.0%,7.1%,25.5,48,19,3,1030.6,16.4,1254,19.9,0.82,110,6.42,14.9%,24.1%,39.1%,331,454,42.2%,20.9,118,63,39,45,22,31,6.9,3.7,2.3,2.6,1.3,1.8,14,7,0,0,0,0,12.6,1,0,0%,0,4,17,1,1,2,0,0,0,0%,6,2.4,1.4,3.8,0.06,0.22,22.4,19.1,11.1,3.8,2.1,-0.3,5.6,0.09,0.33,,,,19,Knee,1563333,,2.9
47,Jan 20 '94,Helsingborg,,SWE,75,197,L,2012,1,6,Y,20,HAMPUSLINDHOLM,Hampus,Lindholm,ANA,,,D,78,6,24,30,0.384615385,AHL,0.25,29,116,32,78,5.2%,2.7%,45.9,75,13,26,1515.7,19.4,1921,24.6,0.79,118,4.67,4.4%,17.5%,21.9%,0,1,0.0%,0,113,54,61,32,45,22,4.5,2.1,2.4,1.3,1.8,0.9,36,18,0,0,0,0,1.3,,, ,,0,17,0,0,1,0,0,0,0%,3,2.2,4.4,6.6,0.08,0.26,34.6,31.4,12.5,3.6,4.7,0,8.3,0.11,0.33,,,,,,1744167,,5.2
38,Jun 15 '93,Dorchester,ON,CAN,74,208,L,2011,2,37,Y,20,BOONEJENNER,Boone,Jenner,CBJ,,,C,72,16,13,29,0.402777778,OHL,1.464285714,6,127,46,44,12.6%,7.4%,25.7,67,10,12,1013.7,14.1,1336,18.6,0.76,101,5.97,15.1%,12.3%,27.4%,14,16,46.7%,0.7,93,212,37,46,26,28,5.5,12.5,2.2,2.7,1.5,1.7,45,19,1,0,0,0,7.4,,, ,,5,12,0,0,5,0,1,1,100%,4,2.3,1.4,3.6,0.05,0.21,18.8,16.4,6.3,4.4,1.9,0,6.3,0.09,0.37,,,,9,Leg,894167,,4.7
73,Apr 24 '92,Scarborough,ON,CAN,73,196,R,2010,2,47,Y,21,TYLERTOFFOLI,Tyler,Toffoli,LAK,,,C/RW,62,12,17,29,0.467741935,AHL,0.879310345,21,124,56,56,9.7%,5.1%,34.8,80,18,15,803.6,13.0,1102,17.8,0.73,92,6.85,14.8%,21.0%,35.8%,2,7,22.2%,0.2,67,57,8,56,25,23,5.0,4.3,0.6,4.2,1.9,1.7,10,5,0,0,0,0,1.9,1,0,0%,0,1,13,0,0,5,1,0,0,0%,2,2.4,1.9,4.3,0.07,0.32,17.5,14.4,16.6,4.3,3.5,-0.3,7.5,0.12,0.56,,,,,,870000,,6.0
62,Apr 23 '88,St. Louis,MO,USA,75,230,L,2007,6,161,Y,25,PATRICKMAROON,Patrick,Maroon,ANA,,,LW,62,11,18,29,0.467741935,AHL,0.78125,11,93,40,34,11.8%,6.6%,22.8,44,9,10,763.4,12.3,971,15.7,0.79,117,9.20,9.6%,15.8%,25.4%,7,8,46.7%,0.3,119,124,16,40,15,15,9.4,9.7,1.3,3.1,1.2,1.2,101,7,13,1,1,0,4.0,,, ,,3,11,0,0,3,0,0,0,0%,4,2.4,1,3.4,0.05,0.27,18.1,14.6,4.8,3.9,1.6,0,5.4,0.09,0.42,,,,,,575000,,4.4
8,Feb 26 '94,Rochester,MI,USA,74,187,R,2012,1,9,Y,19,JACOBTROUBA,Jacob,Trouba,WPG,,,D,65,10,19,29,0.446153846,NCAA,0.783783784,4,121,66,106,8.3%,3.4%,45.8,49,12,42,1458.3,22.4,1754,27.0,0.83,75,3.07,12.2%,23.2%,35.4%,0,0,0.0%,0,93,95,132,66,88,31,3.8,3.9,5.4,2.7,3.6,1.3,43,14,1,1,0,0,13.3,,, ,,3,15,1,0,1,0,0,0,0%,8,2.6,3.3,5.9,0.09,0.24,29.7,34.7,4.3,4.9,4.2,0,9.1,0.14,0.37,,,,17,Upper body,1827500,,5.9
3,Aug 22 '94,Jyväskylä,,FIN,74,206,L,2012,1,22,Y,19,OLLIMAATTA,Olli,Maatta,PIT,,,D,78,9,20,29,0.371794872,OHL,0.666666667,8,119,48,75,7.6%,3.7%,48.1,42,8,57,1441.8,18.5,1797,23.0,0.80,125,5.19,8.3%,18.3%,26.6%,0,0,0.0%,0,141,41,112,48,35,10,5.9,1.7,4.7,2.0,1.5,0.4,14,7,0,0,0,0,12.4,,, ,,1,17,0,0,1,0,1,1,100%,2,2.5,4.1,6.6,0.08,0.27,27.4,28.6,5.5,5.2,3.9,0,9.1,0.12,0.38,,,,2,Upper body,894167,,7.5
