First Name,Last Name,BTN Code,End Team,Pos,NHL PPG,Last Year League,Last Year PPG,GP,ESG,ESA,ESP,ESP/60,55G,55A1,55A2,ESShot,ESMiss,ESBlked,ESChances,ESSh%,ESCoSH%,ESTOI,ESTOI/G,55TOI,55TOI/G,55TOF,55TOF/G,ES%,ESPass,ESBlk,ESHitF,ESHitA,ESGive,ESTake,ESIGP,ESIAP,ESIPP,ESOZFO,ESOZ%,ESDZFO,ESDZ%,ESNZFO,ESNZ%,OZ%,OZRk,RelOZ%,ESOZF,ESDZF,ESNZF,OZF%,T-QoC,T-QoC Rk,RCQoC,QoCRk,CQoC ,Cor%QoC,T-QoT,RCQoT,CQoT ,Cor%QoT,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,TmESSCF`,TmESSCA,ESSC%,ESRelSC%,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,ExpGF,ExpGA,TmGFOff,TmGAOff,TmExpGFOff,TmExpGAOff,ESFOW,ESFOL,ESFO%,ESOffFOT,ESOffFOW,ESOffFOSF,ESOffFOSA,ESOffNSPF,ESOffFOGF,ESOffFOGA,ESOffNGPF,ESDefFOT,ESDefFOW,ESDefFOSF,ESDefFOSA,ESDefNSPF,ESDefFOGF,ESDefFOGA,ESDefNGPF
Mark,Stone,MARKSTONE,OTT,RW,0.8,AHL,1.081081081,80,20,30,50,2.83,18,15,10,111,46,31,125,18.0%,10.6%,1058.6,13.2,996.2,12.5,2781.7,34.8,26.4%,142,38,41,74,32,71,36.4%,45.5%,81.8%,316,33.6%,289,30.7%,335,35.6%,52.2%,11,2.9,360,384,338,48.4%,17.58,5,0.502,7,-0.47,49.7,18.52,0.82,0.90,51.3,10.6%,.924,1030,3.0%,3.31,2.47,31.3,32.5,59.4,55.2,4.2,55,41,465,498,202,179,198,264,469,433,52.0%,0.8,2.2,2.24,2.22,29.08,31.49,55.52,55.91,4.6,104,103,1244,1357,498,517,615,728,2,9,7,0.11,0.51,0.40,41,40,34.1,38.8,39.1,40.8,4,7,36.4%,5,2,4,0,0.8,0,0,0,4,2,0,1,-0.25,0,0,0
Johnny,Gaudreau,JOHNGAUDREAU,CGY,LW,0.8,NCAA,2,80,16,27,43,2.16,13,11,8,115,39,53,125,13.9%,7.7%,1192.6,14.9,1102.6,13.8,2820.4,35.3,28.1%,104,24,11,37,50,58,30.2%,35.8%,66.0%,445,38.6%,350,30.4%,358,31.0%,56.0%,14,15.8,456,446,334,50.6%,17.56,4,0.373,6,0.77,50.3,19.01,1.05,-10.98,45.5,10.6%,.919,1025,2.5%,2.88,2.45,27.2,30.1,54.4,62.6,-8.2,53,45,447,508,216,249,348,283,498,557,47.2%,3.1,2.0,2.19,2.30,25.23,30.08,49.48,64.03,6.3,103,108,1083,1306,470,613,983,670,6,17,11,0.30,0.86,0.55,41,45,43.9,38.7,36.7,46.6,3,4,42.9%,6,3,1,0,0.167,0,0,0,,,,,,,,
Filip,Forsberg,FILIPFORSBERG,NSH,C/RW,0.768292683,AHL,0.723404255,82,20,24,44,2.22,19,13,9,180,103,79,203,11.1%,5.5%,1187.0,14.5,1114.2,13.6,2840.4,34.6,28.2%,140,25,102,96,39,43,32.8%,36.1%,68.9%,491,44.2%,224,20.1%,397,35.7%,68.7%,13,24.2,500,407,364,55.1%,17.56,3,0.115,13,-0.18,49.9,18.85,5.40,9.41,53.2,9.3%,.927,1020,2.0%,3.28,1.94,35.3,26.4,67.1,50.5,16.6,61,36,594,455,260,203,244,331,596,436,57.8%,5.4,2.4,2.30,2.09,29.83,28.79,55.92,54.67,15.3,109,99,1303,1264,538,514,711,697,5,18,13,0.25,0.91,0.66,49,38,48.1,40.8,45.0,38.2,3,2,60.0%,5,3,4,0,0.8,0,0,0,,,,,,,,
Mike,Hoffman,MIKEHOFFMAN,OTT,LW/C,0.607594937,AHL,1.31372549,79,26,19,45,2.68,22,12,5,158,48,83,174,16.5%,9.0%,1006.9,12.7,922.6,11.7,2811.1,35.6,24.7%,114,33,39,67,37,51,51.0%,33.3%,84.3%,337,38.2%,237,26.9%,308,34.9%,58.7%,15,11.7,367,324,299,53.1%,17.38,7,0.523,6,0.01,49.8,18.05,0.22,0.49,50.7,10.5%,.929,1034,3.4%,3.32,2.21,31.6,31.3,59.3,55.4,3.9,51,34,435,447,170,160,211,256,472,379,55.5%,5.2,1.2,2.26,2.33,28.94,32.44,55.52,56.50,4.9,106,109,1250,1411,521,526,601,724,4,8,4,0.24,0.48,0.24,41,36,31.1,36.2,34.3,37.5,5,7,41.7%,8,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Kevin,Hayes,KEVINHAYES,NYR,RW,0.569620253,NCAA,1.625,79,15,24,39,2.47,14,21,1,98,28,33,110,15.3%,9.4%,946.8,12.0,933.8,11.8,2940.9,37.2,24.1%,240,26,55,69,35,38,35.7%,52.4%,88.1%,268,34.9%,175,22.8%,324,42.2%,60.5%,13,13.1,339,319,311,51.5%,17.10,9,-0.064,9,0.08,49.8,17.52,0.67,-0.41,50.0,8.8%,.936,1023,2.3%,2.70,1.93,30.8,30.1,55.5,53.3,2.1,42,30,438,438,169,155,207,214,409,361,53.1%,3.4,0.0,2.80,2.08,30.85,30.34,55.84,58.09,4.4,137,102,1375,1385,535,645,715,690,8,6,-2,0.51,0.38,-0.13,43,35,39.8,30.7,38.0,36.6,238,407,36.9%,213,81,26,2,0.113,3,0,0.014,129,52,7,32,-0.194,0,1,-0.008
Anders,Lee,ANDERSLEE,NYI,C,0.539473684,AHL,0.759259259,76,20,15,35,2.27,17,7,7,157,53,37,171,12.7%,8.1%,923.3,12.1,910.3,12.0,2822.9,37.1,24.4%,81,27,159,125,17,22,40.8%,28.6%,69.4%,327,38.1%,238,27.7%,293,34.1%,57.9%,11,7.5,356,325,286,52.3%,17.34,8,0.196,10,-0.19,49.7,17.89,1.32,7.70,53.2,8.6%,.917,1003,0.3%,3.23,2.37,37.4,28.5,66.8,56.7,10.2,49,36,518,396,190,172,256,257,523,444,54.1%,1.3,0.3,2.44,2.42,31.37,27.61,60.51,55.03,4.7,115,114,1361,1185,600,509,781,771,9,4,-5,0.58,0.26,-0.32,51,37,40.9,38.0,43.9,38.0,1,0,100.0%,,,,,,,,,,,,,,,,
John,Klingberg,JOHNKLINGBERG,DAL,D,0.615384615,SweHL,0.56,65,9,19,28,1.38,8,11,5,67,27,72,56,13.4%,5.4%,1218.8,18.8,1134.9,17.5,1938.1,29.8,36.9%,119,66,53,152,47,27,16.1%,28.6%,44.6%,343,28.2%,374,30.8%,498,41.0%,47.8%,1,-3.6,445,451,432,49.7%,17.56,3,0.927,3,0.09,50.0,16.72,1.16,5.61,51.4,9.2%,.921,1013,1.3%,2.96,2.38,32.1,30.2,65.0,56.4,8.6,56,45,551,526,278,213,282,344,625,513,54.9%,1.8,3.5,2.76,3.03,30.65,29.91,61.89,58.51,5.2,89,98,901,868,486,408,516,523,13,11,-2,0.64,0.54,-0.10,48,44,50.4,52.6,48.5,42.4,,, ,,,,,,,,,,,,,,,,
Aaron,Ekblad,AARONEKBLAD,FLA,D,0.481481481,OHL,0.913793103,81,6,20,26,1.04,6,8,8,115,38,77,57,5.2%,2.6%,1504.7,18.6,1385.9,17.1,2522.1,31.1,35.5%,103,67,98,123,36,19,10.0%,26.7%,36.7%,522,40.2%,338,26.1%,437,33.7%,60.7%,7,15.0,593,517,440,53.4%,17.19,5,-0.08,8,-1.24,49.4,16.93,2.77,3.99,51.8,7.8%,.930,1008,0.8%,2.60,1.90,33.5,27.2,56.4,48.3,8.1,60,44,714,585,225,243,244,303,579,468,55.3%,6.0,0.2,2.12,2.38,28.93,29.59,53.22,53.88,8.7,89,100,1127,1144,477,481,540,544,10,9,-1,0.40,0.36,-0.04,54,45,43.9,57.4,46.0,51.6,,, ,,,,,,,,,,,,,,,,
Evgeny,Kuznetsov,EVGENYKUZNETSOV,WSH,C,0.4625,KHL,0.677419355,80,7,17,24,1.51,4,11,5,92,43,38,92,7.6%,4.0%,954.7,11.9,888.0,11.1,2927.7,36.6,23.3%,124,15,42,49,20,29,20.0%,45.7%,65.7%,269,36.3%,215,29.0%,258,34.8%,55.6%,9,3.0,372,293,264,55.9%,17.01,12,-0.109,10,-0.24,49.9,17.27,-0.12,2.29,49.7,8.9%,.941,1029,2.9%,2.36,1.76,26.6,29.5,52.2,53.9,-1.7,35,26,359,411,159,153,207,219,389,382,50.5%,-2.2,-5.6,2.44,2.30,29.14,27.07,58.59,54.29,-6.0,119,112,1303,1209,654,560,768,783,7,8,1,0.44,0.50,0.06,32,32,38.1,31.8,32.7,31.2,272,345,44.1%,229,85,25,1,0.105,0,0,0,136,68,4,27,-0.169,0,2,-0.015
Victor,Rask,VICTORRASK,CAR,C,0.4125,AHL,0.513157895,80,9,13,22,1.23,9,6,6,127,40,42,114,7.1%,4.3%,1071.8,13.4,980.6,12.3,2960.2,37.0,24.9%,101,25,35,112,21,36,27.3%,36.4%,63.6%,328,35.5%,258,27.9%,338,36.6%,56.0%,10,4.3,370,331,306,52.8%,17.37,6,0.493,4,-0.19,49.8,17.67,1.56,6.69,51.1,6.0%,.911,971,-2.9%,2.02,2.45,33.8,27.5,62.0,53.2,8.9,33,40,520,409,210,206,214,251,457,445,50.7%,-0.9,0.5,1.86,2.59,29.07,27.06,56.87,52.44,4.4,92,128,1342,1207,604,574,678,768,5,10,5,0.28,0.56,0.28,38,36,29.7,40.2,37.9,36.1,451,424,51.5%,310,147,49,5,0.142,2,1,0.003,232,124,2,42,-0.172,1,1,0
