First Name,Last Name,End Team,Pos,GP,NHL PPG,Last Year League,Last year PPG,ESG,ESA,ESP,ESP/60,55G,55A1,55A2,ESShot,ESMiss,ESBlked,ESChances,ESSh%,ESCoSH%,ESTOI,ESTOI/G,55TOI,55TOI/G,55TOF,55TOF/G,ES%,ESPass,ESBlk,ESHitF,ESHitA,ESGive,ESTake,ESIGP,ESIAP,ESIPP,ESOZFO,ESOZ%,ESDZFO,ESDZ%,ESNZFO,ESNZ%,OZ%,OZRk,RelOZ%,T-QoC,T-QoC Rk,RCQoC,QoCRk,CQoC ,Cor%QoC,T-QoT,RCQoT,CQoT ,Cor%QoT,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBA,TmESBF,TmESSCF`,TmESSCA,ESSC%,ESRelSC%,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,AltTOff,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBA,oTmESBF,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,ExpGF,ExpGA,TmGFOff,TmGAOff,TmExpGFOff,TmExpGAOff,ESFOW,ESFOL,ESFO%,NGPF,NSAPF,ESOffFOT,ESNeutFOT,ESDefFOT,BTN Code,WOI Code
Artemi,Panarin,CHI,LW,80,0.9625,KHL,1.148148148,22,31,53,2.54,18,11,12,126,45,64,143,17.5%,9.4%,75211,15.7,1162.1,14.5,2726.9,34.1,29.9%,120,12,42,107,32,25,33.3%,42.6%,75.9%,404,44.3%,132,14.5%,376,41.2%,75.4%,16,31.2,17.82,5,.77,5,.78,50.26,19.08,.58,2.43,51.22,9.2%,.911,1003,0.3%,2.79,2.63,30.3,29.7,58.0,53.8,4.2,54,51,533,525,204,197,332,269,494,524,48.5%,-2.2,-3.6,2.04,2.15,29.6,29.5,55.5,54.0,2.7,3883.966667,132,139,1786,1773,670,675,1002,907,10,13,3,0.48,0.62,0.14,45.7,50.3,32.2,45.3,42.4,55.4,0,0, ,0,0,0,0,0,ARTEMIPANARIN,Artemi.Panarin
Jack,Eichel,BUF,C,81,0.691358025,NCAA,1.775,16,19,35,1.65,12,12,5,156,64,65,154,10.3%,5.6%,76323,15.7,1186.7,14.7,2760.4,34.1,30.1%,167,23,39,72,35,39,30.8%,43.6%,74.4%,383,36.3%,334,31.6%,339,32.1%,53.4%,13,8.3,17.42,5,.27,9,.41,50.23,18.23,1.14,-4.22,46.69,7.2%,.923,995,-0.5%,1.97,2.53,27.4,32.9,50.6,57.5,-6.9,39,50,503,601,198,223,261,264,498,543,47.8%,-1.6,-3.2,1.82,2.22,27.7,29.8,50.1,55.0,-2.0,3924.983333,119,145,1696,1806,652,778,808,871,9,18,9,0.42,0.85,0.42,39.7,48.5,31.4,40.4,38.9,37.5,378,535,41.4%,0.19,-19.24,258,308,286,JACKEICHEL,Jack.Eichel
Max,Domi,ARI,LW/C,81,0.641975309,OHL,1.789473684,15,21,36,2.03,13,14,5,90,48,50,118,16.7%,8.0%,63798,13.1,1010.7,12.5,2714.0,33.5,27.1%,148,22,32,71,28,23,28.9%,42.2%,71.1%,364,35.8%,278,27.3%,376,36.9%,56.7%,13,11.9,17.51,4,.60,6,.80,50.44,18.03,1.16,-5.86,48.14,9.4%,.944,1038,3.8%,2.67,1.84,28.3,32.9,53.4,61.5,-8.1,45,31,432,523,196,229,227,253,452,518,46.6%,0.5,-3.1,2.02,2.18,26.7,30.7,51.4,58.3,-1.2,3717.966667,125,135,1528,1766,700,832,834,879,12,17,5,0.68,0.96,0.28,36.7,41.2,22.7,42.6,30.1,40.0,11,21,34.4%,-0.11,-0.63,17,9,2,MAXDOMI,Max.Domi
Connor,McDavid,EDM,C,45,1.066666667,OHL,2.553191489,13,21,34,2.99,12,9,8,64,21,13,92,20.3%,13.3%,40878,15.1,633.2,14.1,1494.0,33.2,29.8%,89,10,10,38,9,24,33.3%,47.2%,80.6%,198,32.6%,197,32.4%,213,35.0%,50.1%,10,4.2,17.78,6,.57,6,.49,50.26,17.84,.95,-1.22,49.31,10.2%,.890,992,-0.8%,3.41,3.32,33.5,30.1,60.3,56.2,4.1,36,35,318,283,124,127,158,148,360,315,53.3%,4.9,5.7,2.15,2.67,28.3,30.5,53.9,57.5,7.7,2090.083333,75,93,910,968,364,410,528,533,6,15,9,0.53,1.32,0.79,30.1,26.8,10.5,32.0,20.0,25.9,236,344,40.7%,0.84,-10.8,186,207,162,CONNORMCDAVID,Connor.McDavid
Shayne,Gostisbehere,PHI,D,64,0.71875,NCAA,0.80952381,9,15,24,1.41,7,8,4,67,40,58,48,13.4%,5.5%,61384,16.0,952.9,14.9,2050.0,32.0,31.7%,84,48,26,36,42,24,15.6%,26.7%,42.2%,349,40.1%,224,25.7%,298,34.2%,60.9%,8,15.7,17.19,6,-.25,6,.21,50.26,16.63,.19,1.60,49.88,9.6%,.936,1031,3.1%,2.83,1.89,29.6,29.3,57.2,57.0,0.1,45,30,425,436,177,174,261,266,423,443,48.8%,-1.7,-4.0,2.10,1.98,29.5,29.6,58.3,56.1,-2.0,3002.033333,105,99,1373,1384,595,505,842,819,9,8,-1,0.53,0.47,-0.06,34.0,37.2,38.1,30.4,33.2,38.6,1,0,100.0%,0,0,0,1,0,SHAYNEGOSTISBEHERE,Shayne.Gostisbehere
Dylan,Larkin,DET,C,80,0.5625,NCAA,1.342857143,19,21,40,2.08,18,12,6,153,60,72,160,12.4%,6.7%,69101,14.4,1062.0,13.3,2697.8,33.7,28.2%,138,21,59,84,27,36,38.3%,38.3%,76.6%,368,38.6%,239,25.1%,347,36.4%,60.6%,12,9.0,17.68,4,.52,6,-.05,50.14,18.31,-.53,3.10,51.86,8.7%,.934,1021,2.1%,2.66,2.09,30.5,31.6,56.7,52.5,4.2,47,37,493,523,211,191,253,179,507,490,50.9%,-0.2,-1.6,2.01,2.14,28.9,29.2,53.1,49.4,0.5,3765.333333,126,134,1687,1701,702,655,818,610,7,15,8,0.36,0.78,0.42,42.9,39.2,26.5,43.3,40.8,40.3,33,48,40.7%,-0.1,-9.62,31,27,16,DYLANLARKIN,Dylan.Larkin
Anthony,Duclair,ARI,LW/RW,81,0.543209877,QMJHL,1.307692308,12,20,32,2.05,12,10,9,57,35,22,93,21.1%,10.5%,56074,11.5,919.7,11.4,2796.9,34.5,24.7%,91,26,23,78,16,22,25.0%,39.6%,64.6%,352,39.7%,227,25.6%,307,34.7%,60.8%,15,17.4,17.38,8,.27,11,.61,50.37,18.04,1.78,-5.70,48.25,11.0%,.938,1048,4.8%,3.13,1.83,28.5,29.5,55.3,56.0,-0.7,48,28,389,424,198,202,213,204,400,430,48.2%,2.7,3.0,2.00,2.09,26.7,30.8,51.3,58.7,6.8,3710.95,124,129,1528,1779,698,839,822,884,14,19,5,0.90,1.22,0.32,32.9,34.0,23.8,31.5,29.2,38.3,0,1,0.0%,0,0,0,0,0,ANTHONYDUCLAIR,Anthony.Duclair
Sam,Reinhart,BUF,C/RW,79,0.53164557,WHL,1.382978723,15,17,32,1.75,13,10,6,110,40,45,137,13.6%,7.7%,65779,13.9,1047.3,13.3,2802.5,35.5,27.2%,143,24,25,111,18,18,35.1%,43.2%,78.4%,340,33.8%,317,31.5%,350,34.8%,51.8%,12,5.4,17.74,2,.71,6,.97,50.44,18.83,.60,-4.56,46.91,7.0%,.922,992,-0.8%,2.12,2.29,30.3,29.6,54.5,52.5,2.0,37,40,492,476,183,186,240,215,485,429,53.1%,6.0,7.0,1.80,2.20,27.8,29.7,50.0,54.9,6.9,3826.7,115,140,1659,1752,630,757,782,852,3,11,8,0.16,0.60,0.44,38.8,38.7,36.2,52.6,34.3,39.3,30,70,30.0%,-1.02,-1.49,32,36,30,SAMREINHART,Sam.Reinhart
Nikolaj,Ehlers,WPG,RW/LW,72,0.527777778,QMJHL,1.960784314,11,16,27,1.63,10,10,4,127,61,51,133,8.7%,4.6%,59515,13.8,956.2,13.3,2438.8,33.9,28.2%,122,23,29,61,27,20,24.4%,34.1%,58.5%,323,36.0%,257,28.7%,317,35.3%,55.7%,14,5.2,17.41,6,.62,7,.54,50.45,18.65,3.25,5.35,52.33,8.2%,.922,1004,0.4%,2.57,2.13,31.5,27.3,59.5,51.3,8.2,41,34,461,401,205,156,241,227,448,394,53.2%,3.4,1.9,2.23,2.14,29.1,27.6,54.9,52.1,5.4,3391.55,126,121,1517,1437,644,624,814,764,4,17,13,0.24,1.03,0.79,40.4,34.3,47.6,26.3,42.6,35.5,0,2,0.0%,-0.01,-0.24,1,0,0,NIKOLAJEHLERS,Nikolaj.Ehlers
Robby,Fabbri,STL,C,72,0.513888889,OHL,1.7,16,13,29,2.04,15,3,8,86,37,32,117,18.6%,10.3%,51239,11.9,832.8,11.6,2621.3,36.4,24.1%,37,9,46,68,19,26,41.7%,30.6%,72.2%,250,34.7%,222,30.8%,249,34.5%,53.0%,12,5.6,17.18,10,.03,12,-.07,50.01,17.89,-.04,3.39,51.74,8.1%,.917,998,-0.2%,2.59,2.45,32.2,29.7,58.0,53.0,5.0,36,34,411,378,145,139,213,185,415,368,53.0%,3.0,0.7,2.02,1.86,29.6,28.2,54.3,52.0,2.6,3449.533333,116,107,1588,1512,629,585,790,785,9,16,7,0.63,1.12,0.49,38.9,34.9,20.9,26.6,28.6,33.7,6,7,46.2%,-0.04,0.55,8,3,2,ROBBYFABBRI,Robby.Fabbri
