,,,,,,,,,,,,,,,,Primary Stats,,,,,,,,,,,,,,,,,,,Key Team Stats,,,,,,,,Individual Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring-Based On-Ice Team Stats,,,,,,,,,,,,,,,,,,Other On-Ice Team Stats,,,,,,,,Catch-All,,,Other,,,,,,,,,,,,,,,Contract Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,,,,,NHL,NHL,NHL,NHL,NHL,NHL,NHL,Last Year,Last Year,NHL,HR,NHL,NHL,NHL,CH,HR,,,,,,,Focused on Goals,,,,,CH,HR,CH,CH,HR,NHL,CH,CH,CH,CH,,NHL,CH,RV,NHL,CH,CH,,NHL,NHL,NHL,NHL,CH,CH,CH,,NHL,NHL,CH,CH,,,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,CH,CH,,,NHL,NHL,NHL,NHL,NHL,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,,,CH,CH,CH,CH,CH,CH,CH,CH,HR,HR,HR,NHL,NHL,NHL,CH,,,,DL,DL,Game Stars,,,TC,TC,TC,CF,CF,CF,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,NHLid,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PPG,PTS,League,PPG,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF,iFF,iSF,iSF,iSF,ixG,iSCF,iRB,iRS,iDS,sDist,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,SOS,SOG,SOGDG,OTOI,Grit,DAP,Pace,GS,GS/G,1st,2nd,3rd,MGL,Injuries,CHIP,NMC,Status,Salary,Cap Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-17,Scottsdale,AZ,USA,USA,75,216,2016,1,1,L,8479318,Matthews,Auston,C,TOR,82,40,29,20,9,0.841463415,69,Swiss-A,1.277777778,2,7.6,14,1894,86745,1440.5,17.53,17.58,31.1%,81.2%,9.6%,.923,1018,3.54,2.21,61.6%,32,1.33,474,476,387,278,279,279,34.1,133,23,35,58,25.0,23.7,277.5,21,21,NA,#VALUE!,110,44,76,61,44,74,61,4.8%,530,602,526,596,46.8%,84.1%,95,124,190,208,243,265,195,229,158,186,309,352,1,14,8,1,0,0,5,0,0,10,6,0,19,0,6,15,89,36,1,6,98,17,10,111,6,22,8,21,16,11.5,6,0,0,0,0,1677,1261,1264,970,890,687,91.7,59.6,333,209,85,53,54,41,96,71,150,112,622,712,381,661,228,208,79,94,8.2,1.5,9.7,8,2,0,3190.76,96,16.2,122.4,77.9,0.95,9,4,4,,,,,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-19,Tampere,,FIN,FIN,77,206,2016,1,2,R,8479339,Laine,Patrik,RW,WPG,73,36,28,13,15,0.876712329,64,SM-liiga,0.717391304,7,-2.9,26,1633,78457,1288.1,17.92,17.82,32.3%,70.3%,13.1%,.903,1034,4.24,2.75,60.7%,32,1.49,349,360,276,198,204,204,14.6,32,4,27,31,39.9,37.6,181.4,80,80,61,19,80,55,43,33,55,43,33,3.1%,0,3,0,3,0.0%,0.3%,0,1,0,0,0,2,0,1,0,1,0,1,1,5,5,3,0,0,0,0,8,8,2,0,18,1,4,19,56,4,1,50,36,5,0,108,13,13,13,10,0,-0.6,13,0,0,0,0,1281,1059,980,799,693,606,69.2,49.7,224,179,91,59,49,35,83,78,132,113,568,620,421,359,194,176,78,87,7.4,1.5,8.9,4,3,1,2705.08,139,9.5,109.0,57.4,0.8,9,2,5,9,"Concussion, Illness","$101,524.39",,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-01,Calgary,AB,CAN,SWE,72,190,2014,1,8,R,8477939,Nylander,William,C/RW,TOR,81,22,39,23,16,0.75308642,61,AHL,1.184210526,-3,7.2,32,1766,77820,1291.4,15.92,15.96,28.5%,82.4%,9.1%,.928,1019,3.44,2.04,62.7%,30,1.39,361,363,284,204,205,205,19.7,67,6,21,27,31.8,29.0,391.4,25,25,NA,#VALUE!,81,30,59,16,30,59,16,1.5%,49,73,49,73,40.2%,10.4%,9,11,15,29,25,33,19,24,21,21,24,48,0,1,2,1,0,0,1,0,1,6,1,0,13,0,5,13,63,8,1,11,77,12,2,94,16,6,16,6,-10,-6.6,16,0,0,0,0,1527,1091,1162,841,810,610,82.8,50.4,305,170,74,44,42,25,74,56,116,81,546,630,418,585,210,189,75,78,5.7,1.1,6.8,2,0,0,3233.56,73,5.3,121.6,61.0,0.75,4,0,3,1,Upper body,"$10,904.48",,RFA,"$925,000.00","$894,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-05,Markham,ON,CAN,CAN,72,170,2015,1,4,R,8478483,Marner,Mitchell,C/RW,TOR,77,19,42,24,18,0.792207792,61,OHL,2.035087719,0,-2.3,38,1690,77663,1284.4,16.73,16.74,29.3%,72.6%,11.0%,.914,1024,3.92,2.62,60.0%,28,1.31,NA,325,NA,NA,176,176,18.4,64,NA,17,#VALUE!,28.6,NA,362.3,41,41,101,-60,80,62,67,39,62,67,39,3.4%,14,23,14,23,37.8%,2.9%,3,3,3,5,8,15,9,12,3,5,8,12,0,4,5,0,0,0,0,0,0,8,1,1,9,0,4,7,69,12,0,11,57,6,1,88,18,20,17,18,2,3.2,18,0,0,0,0,1462,1156,1104,926,766,652,80.3,56.1,276,182,84,56,46,32,64,63,110,95,717,571,372,519,256,198,72,74,5.4,1.2,6.6,8,3,1,3095.06,118,6.0,122.3,56.9,0.74,3,7,2,5,Upper body,"$54,522.38",,RFA,"$925,000.00","$894,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-26,Rauma,,FIN,FIN,71,172,2015,2,35,L,8478427,Aho,Sebastian,RW/LW,CAR,82,24,25,12,13,0.597560976,49,SM-liiga,1,-1,5.1,26,1814,82591,1357.5,16.78,16.71,29.4%,69.0%,9.4%,.911,1005,3.14,2.21,58.7%,21,0.93,360,362,285,213,214,214,24.4,77,25,26,51,26.0,25.7,215.3,51,49,91,-42,71,57,40,14,56,40,14,1.4%,17,18,17,17,48.6%,2.7%,1,0,11,10,5,8,2,3,10,2,9,14,1,5,4,2,0,0,1,2,4,7,1,0,9,0,2,3,66,26,8,17,47,12,7,97,13,22,12,20,9,7.2,13,0,0,0,0,1443,1018,1070,798,757,561,80.1,50.4,283,167,71,50,82,43,68,53,150,96,705,558,373,493,236,203,53,66,4.2,1.8,5.9,5,2,0,3267.64,91,7.0,108.8,57.6,0.71,5,1,4,,,,,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,L,8479314,Tkachuk,Matthew,LW,CGY,76,13,35,25,10,0.631578947,48,OHL,1.877192982,14,7.1,105,1468,66854,1111.1,14.67,14.65,27.1%,69.6%,10.3%,.914,1018,3.73,2.00,65.1%,32,1.73,232,232,192,142,142,142,17.5,63,14,14,28,25.4,23.5,434.4,65,65,81,-16,50,27,40,22,27,40,22,2.6%,8,15,8,15,34.8%,2.1%,3,2,2,4,2,9,4,5,3,6,5,12,0,0,2,1,0,0,2,0,0,0,6,0,5,1,5,5,39,15,2,4,9,20,1,91,39,47,32,35,8,-1.0,34,3,0,2,0,1256,847,927,631,668,432,62.3,41.6,199,139,69,37,54,30,78,54,132,84,524,584,294,331,192,131,92,82,3.5,1.9,5.4,,,,2989.84,195,3.1,113.6,57.3,0.75,3,3,5,2,Hand,"$22,560.98",,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-19,Grosse Pointe,MI,USA,USA,74,218,2015,1,8,L,8478460,Werenski,Zach,D,CBJ,78,11,36,15,21,0.602564103,47,Big-10,1,17,10.7,14,2069,97864,1624.5,20.92,20.88,35.7%,48.0%,10.5%,.923,1028,3.62,1.92,65.3%,46,1.70,390,384,257,188,188,188,9.4,12,8,11,19,47.9,43.0,242.4,41,41,78,-37,69,40,27,90,40,27,90,7.0%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,4,0,0,6,1,1,12,55,6,0,36,43,0,0,103,7,4,9,4,-3,6.2,7,0,0,0,0,1707,1292,1251,956,930,673,87.0,69.0,306,231,98,52,77,66,57,46,134,112,862,900,469,428,155,171,66,101,4.5,4.5,9.1,,,,2921.44,145,9.7,110.8,58.7,0.75,2,6,3,4,Shoulder,"$45,121.95",,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-13,Calgary,AB,CAN,CAN,70,166,2014,3,79,R,8478010,Point,Brayden,C,T.B,68,18,22,8,14,0.588235294,40,WHL,1.833333333,4,1.3,14,1417,69898,1164.3,17.13,17.13,30.4%,54.8%,11.4%,.917,1031,3.76,2.22,62.9%,30,1.55,214,214,171,122,122,122,14.2,67,6,5,11,24.4,23.3,123.2,39,39,88,-49,49,19,30,31,19,30,31,3.4%,238,294,238,294,44.7%,48.8%,50,75,87,112,101,107,86,88,49,76,152,200,0,4,2,0,0,0,1,0,0,1,6,0,10,0,5,9,35,18,1,2,16,16,0,69,7,11,8,10,4,4.1,7,0,0,0,0,1230,909,917,709,639,515,55.7,39.1,185,122,73,43,35,29,38,57,73,86,506,584,313,405,171,105,53,64,3.1,1.5,4.7,7,5,2,2664.2,84,9.9,110.2,42.7,0.63,3,4,1,14,Upper body,"$117,235.83",,RFA,"$667,500.00","$686,667.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
